flightID,departuretime,arrivaltime,planned_path_cost,actual_path_cost,shortest_path_cost
DAL212-1526707550-airline-0235:0,2018:05:21 15:55:00,2018:05:21 22:05:00,23800.8294107,23496.614394895398,22069.3101949
JBU1823-1526707547-airline-0410:0,2018:05:21 21:43:00,2018:05:22 04:00:00,23132.6437985,23915.08553303424,22151.742804
AAL163-1526707546-airline-0111:0,2018:05:21 10:00:00,2018:05:21 16:16:00,22842.3288892,23615.56827350398,22177.0967908
DAL458-1526707550-airline-0060:0,2018:05:21 12:55:00,2018:05:21 19:01:00,23207.6547738,22973.587880309202,22156.3404568
AAL133-1526707546-airline-0570:0,2018:05:21 17:00:00,2018:05:21 23:32:00,23013.8402273,23360.480319237286,22118.2151124
AAL19-1526707546-airline-0371:0,2018:05:21 16:00:00,2018:05:21 22:26:00,23800.8294107,23391.39196013957,22069.3101949
JBU1723-1526707547-airline-0258:0,2018:05:21 20:40:00,2018:05:22 03:02:00,23413.8104167,23460.42912324843,22133.0887158
AAL117-1526707546-airline-0286:0,2018:05:21 14:30:00,2018:05:21 20:59:00,23801.5288375,23491.48299105368,22102.8747789
ASA1407-1526707547-airline-0236:0,2018:05:21 08:00:00,2018:05:21 14:12:00,23130.2327593,23156.739603598777,22202.8690608
AAL3-1526707546-airline-0339,2018:05:21 11:00:00,2018:05:21 17:12:00,22771.6495761,22810.384702017334,22175.9016636
AAL23-1526707546-airline-0289:0,2018:05:21 13:30:00,2018:05:21 19:54:00,22516.1988897,22923.392469767972,22113.6391127
AAL255-1526707546-airline-0056:0,2018:05:21 09:00:00,2018:05:21 15:23:00,22936.3368353,22789.86113372529,22166.6427942
ASA1411-1526707547-airline-0233:0,2018:05:21 12:00:00,2018:05:21 18:12:00,23025.4791528,22960.613755960683,22190.4522912
JBU23-1526707547-airline-0174:0,2018:05:21 04:50:00,2018:05:21 10:58:00,23297.675447,23288.316725891833,22267.8473693
ASA1415-1526707547-airline-0076:0,2018:05:21 19:22:00,2018:05:22 01:44:00,23105.8754816,23558.72473412585,22141.0213403
JBU323-1526707547-airline-0212:0,2018:05:21 08:30:00,2018:05:21 14:46:00,23173.926842,23203.392528253255,22166.6427942
JBU123-1526707547-airline-0384:0,2018:05:21 06:31:00,2018:05:21 12:44:00,23085.579306,23931.411958094926,22218.1493139
JBU223-1526707547-airline-0181:0,2018:05:21 07:23:00,2018:05:21 13:45:00,23130.9733944,22966.395405218853,22202.8690608
JBU523-1526707547-airline-0056:0,2018:05:21 11:30:00,2018:05:21 17:39:00,23025.1703066,22961.9886809728,22190.4522912
JBU1323-1526707547-airline-0231:0,2018:05:21 14:27:00,2018:05:21 20:51:00,23387.9850266,24039.636222128483,22102.8747789
JBU1523-1526707547-airline-0160:0,2018:05:21 16:00:00,2018:05:21 22:28:00,23800.8294107,23469.98528917809,22069.3101949
